date1,hour1,price,output
15.01.2015,4,15.43,21.21
15.01.2015,5,16.05,23.105999999999998
15.01.2015,6,32.33,25.337
15.01.2015,7,48.62,26.534000000000002
15.01.2015,8,49.01,26.473000000000003
15.01.2015,9,47.58,24.548000000000002
15.01.2015,10,45.94,23.73
15.01.2015,11,46.54,18.01
15.01.2015,12,45.46,11.35
15.01.2015,13,42.94,8.052
15.01.2015,14,38.18,7.337999999999999
15.01.2015,15,35.54,9.743
15.01.2015,16,35.68,14.38
15.01.2015,17,41.66,19.997
15.01.2015,18,50.45,22.541999999999998
15.01.2015,19,49.47,20.125999999999998
15.01.2015,20,42.98,15.918
15.01.2015,21,35.42,13.787
15.01.2015,22,35.49,13.295
15.01.2015,23,34.75,13.985999999999999
16.01.2015,0,35.95,14.708
16.01.2015,1,30.86,15.72
16.01.2015,2,29.47,15.405999999999999
16.01.2015,3,24.74,13.837
16.01.2015,4,22.95,11.931
16.01.2015,5,29.58,10.530999999999999
16.01.2015,6,39.73,9.551
16.01.2015,7,49.49,8.642000000000001
16.01.2015,8,50.71,7.4
16.01.2015,9,48.98,5.19
16.01.2015,10,50.54,3.3760000000000003
16.01.2015,11,49.76,2.8310000000000004
16.01.2015,12,48.43,3.492
16.01.2015,13,46.17,6.652
16.01.2015,14,44.99,10.425999999999998
16.01.2015,15,44.05,11.289000000000001
16.01.2015,16,47.1,10.407
16.01.2015,17,52.49,9.746
16.01.2015,18,53.54,8.99
16.01.2015,19,48.02,9.219
16.01.2015,20,41.51,10.739
16.01.2015,21,37.92,13.052999999999999
16.01.2015,22,40.64,16.188
16.01.2015,23,43.18,16.694000000000003
17.01.2015,0,36.54,18.691
17.01.2015,1,33.17,19.322
17.01.2015,2,32.26,20.586
17.01.2015,3,27.92,22.478
17.01.2015,4,27.05,23.734
17.01.2015,5,27.24,24.66
17.01.2015,6,27.41,23.493000000000002
17.01.2015,7,33.17,20.924
17.01.2015,8,41.99,19.701
17.01.2015,9,47.44,16.74
17.01.2015,10,46.57,14.529000000000002
17.01.2015,11,43.39,14.365
17.01.2015,12,43.0,12.878
17.01.2015,13,38.08,10.543
